User_Id,Item_Id,features
js41637,239030,"Papers, Please, 2013-11-29, "
evcentric,263360,"3089 -- Futuristic Action RPG, 2014-10-15, Phrts Software"
doctr,250320,"The Wolf Among Us, 2013-10-14, Telltale Games"
maplemage,204300,"Awesomenauts - the 2D moba, 2013-07-11, Ronimo Games"
76561198077246154,304930,"Unturned, 2014-08-25, Smartly Dressed Games"
tru_mu_,287980,"Mini Metro, 2015-12-15, Dinosaur Polo Club"
VVillis,213670,"South Park™: The Stick of Truth™, 2015-01-06, Obsidian Entertainment"
76561198070194565,248570,"Toribash, 2015-11-09, Nabi Studios"
UTNerd24,376920,"Tiki Man, 2015-06-06, Anarchy Enterprises"
Life-Of-Blu,377160,"Fallout 4, 2015-11-13, Bethesda Game Studios"
CaptianAutismo,252490,"Rust, 2015-12-17, Facepunch Studios"
kube134,251990,"Long Live The Queen, 2014-06-28, Hanako Games"
iamthekingofbrowntown,252950,"Rocket League®, 2015-09-13, Psyonix Inc"
Posiblydead,277430,"Halo: Spartan Assault, 2014-04-11, Vanguard Games Industries"
76561198102421718,274940,"Depth, 2015-08-03, Digital Confectioners"
76561198030567998,32430,"STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition, 2014-02-23, Lucasartsaspyr Studios"
76561198030567998,332800,"Five Nights at Freddy's 2, 2014-11-11, Scott Cawthon"
76561198060447950,200510,"XCOM: Enemy Unknown, 2015-09-26, Firaxis Gamesferal Interactive Macferal Interactive Linux"
Nozomikat,264200,"One Finger Death Punch, 2014-08-01, Silver Dollar Games"
ii_voltage_ii,253710,"theHunter Classic, 2014-06-29, Expansive Worldsavalanche Studios"
Xx-Woods,295550,"Royal Quest, 2014-08-17, Katauri"
kevinator23,8850,"BioShock® 2, 2015-09-06, K Marink Chinadigital Extremesk Australiaferal Interactive Mac"
kevinator23,220240,"Far Cry 3, 2014-05-24, Ubisoft Montreal Massive Entertainment And Ubisoft Shanghai"
kevinator23,320760,"Tokyo School Life, 2015-07-06, M Coltd"
de_Butl3r,209870,"Blacklight: Retribution, 2014-10-13, Hardsuit Labs"
Bluezap1,362890,"Black Mesa, 2015-12-27, Crowbar Collective"
Lord_Exploit,311560,"Assassin’s Creed® Rogue, 2015-03-13, Ubisoft Sofiaubisoft Kiev"
AVATAR715,266430,"Anarchy Arcade, 2015-02-25, Elijah Newmangomez"
Magjiikal,370480,"Pixel Galaxy, 2015-10-05, Serenity Forge"
