Item_Id,App_Name,Title,Release_Date,Release_Year,Price,Genres,Specs,Early_Access,Developer,Publisher
761140,Lost Summoner Kitty,Lost Summoner Kitty,2018-04-01,2018,4.99,"Action,  Casual,  Indie,  Simulation,  Strategy",Single-player,False,Kotoshiro,Kotoshiro
643980,Ironbound,Ironbound,2018-04-01,2018,0.0,"Free to Play,  Indie,  RPG,  Strategy","Single-player, Multi-player, Online Multi-Player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases",False,Secret Level Srl,Making Fun Inc
767400,,弹炸人2222,2017-07-12,2017,0.99,"Action,  Adventure,  Casual",Single-player,False,,
772540,Battle Royale Trainer,Battle Royale Trainer,2018-04-01,2018,3.99,"Action,  Adventure,  Simulation","Single-player, Steam Achievements",False,Trickjump Games Ltd,Trickjump Games Ltd
774276,Snow All Access Basic Pass,SNOW - All Access Basic Pass,2018-04-01,2018,9.99,"Free to Play,  Indie,  Simulation,  Sports","Single-player, Multi-player, Online Multi-Player, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Steam Leaderboards",False,Poppermost Productions,Nan
774277,Snow All Access Pro Pass,SNOW - All Access Pro Pass,2018-04-01,2018,18.99,"Free to Play,  Indie,  Simulation,  Sports","Single-player, Multi-player, Online Multi-Player, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Steam Leaderboards",False,Poppermost Productions,Poppermost Productions
774278,Snow All Access Legend Pass,SNOW - All Access Legend Pass,2018-04-01,2018,29.99,"Free to Play,  Indie,  Simulation,  Sports","Single-player, Multi-player, Online Multi-Player, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Steam Leaderboards",False,Poppermost Productions,Poppermost Productions
770380,Army Of Tentacles Not A Cthulhu Dating Sim Black Goat Of The Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-04-01,2018,10.99,"Action,  Adventure,  Casual,  Indie,  RPG","Single-player, Steam Achievements",False,Stegalosaurus Game Development,Stegalosaurus Game Development
768880,Beach Rules,Beach Rules,2018-04-01,2018,3.99,"Casual,  Indie",Single-player,False,Copperpick Studio,Copperpick Studio
765320,Planetarium Zen Odyssey,Planetarium 2 - Zen Odyssey,2018-03-01,2018,2.99,"Casual,  Indie,  Simulation",Single-player,False,Ghulam Jewel,Ghulam Jewel
773650,The First Thrust Of God,The first thrust of God,2018-03-01,2018,1.59,"Adventure,  Casual,  Indie,  Simulation,  Strategy","Single-player, Steam Achievements, Steam Cloud",False,Apillo,Apillo
774271,Snow Starter Pack,SNOW - Starter Pack,2018-03-01,2018,14.99,"Free to Play,  Indie,  Simulation,  Sports","Single-player, Multi-player, Online Multi-Player, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Steam Leaderboards",False,Poppermost Productions,Poppermost Productions
773690,The First Thrust Of God All Aircrafts,The first thrust of God - All Aircrafts,2018-03-01,2018,1.99,"Adventure,  Casual,  Indie,  Simulation,  Strategy","Single-player, Downloadable Content, Steam Achievements, Steam Cloud",False,Apillo,Apillo
774279,Snow Lifetime Pack,SNOW - Lifetime Pack,2018-03-01,2018,59.99,"Free to Play,  Indie,  Simulation,  Sports","Single-player, Multi-player, Online Multi-Player, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Steam Leaderboards",False,Poppermost Productions,Poppermost Productions
768060,The Warrior Of Treasures,The Warrior Of Treasures,2018-03-01,2018,0.99,"Action,  Adventure,  Indie",Single-player,False,Tero Lunkka,Tero Lunkka
653960,Dinoblaster,DinoBlaster,2018-03-01,2018,4.99,"Action,  Indie","Single-player, Local Co-op, Shared/Split Screen, Partial Controller Support",False,Casey Labrack,Casey Labrack
70,Halflife,Half-Life,1998-08-11,1998,9.99,Action,"Single-player, Multi-player, Valve Anti-Cheat enabled",False,Valve,Valve
766850,Vaporwave Simulator,Vaporwave Simulator,2018-01-01,2018,0.99,"Casual,  Indie,  Simulation",Single-player,False,Etggames,Etggames
754360,Underdone Soundtrack,Underdone - Soundtrack,2018-01-01,2018,8.99,"Action,  Adventure,  RPG","Single-player, Downloadable Content, Steam Achievements, Partial Controller Support, Steam Cloud",False,The Commander,Nan
716110,Bitcoin Clicker,Bitcoin Clicker,2018-01-01,2018,0.99,"Adventure,  Casual,  Indie,  RPG","Single-player, Steam Achievements, Partial Controller Support",False,Lalalazerourbanoff,Cisamid Inc
1640,Disciples Ii Galleans Return,Disciples II: Gallean's Return,2006-06-07,2006,6.99,Strategy,"Single-player, Multi-player, Co-op",False,Strategy First,Strategy First
1630,Disciples Ii Rise Of The Elves,Disciples II: Rise of the Elves,2006-06-07,2006,6.99,Strategy,"Single-player, Multi-player, Co-op",False,Strategy First,Strategy First
2400,The Ship Murder Party,The Ship: Murder Party,2006-11-07,2006,9.99,"Action,  Indie,  RPG","Single-player, Multi-player, Steam Trading Cards, Valve Anti-Cheat enabled",False,Outerlight Ltd,Blazing Griffin Ltd
3800,Advent Rising,Advent Rising,2005-09-08,2005,9.99,Action,"Single-player, Steam Trading Cards",False,Glyphx Games,Majesco
2990,Flatout,FlatOut 2™,2006-01-08,2006,9.99,Racing,Single-player,False,Bugbear Entertainment,Strategy First
6220,Flatout,FlatOut,2005-12-07,2005,7.49,Racing,"Single-player, Multi-player",False,Bugbear Entertainment,Strategy First
1700,Arx Fatalis,Arx Fatalis,2002-12-11,2002,4.99,RPG,Single-player,False,Arkane Studios,Arkane Studios
2540,Rip Trilogy,RIP - Trilogy™,2007-01-06,2007,4.99,"Casual,  Indie","Single-player, Multi-player, Co-op",False,Elephant Games,Nan
7650,Xcom Terror From The Deep,X-COM: Terror From the Deep,1995-01-04,1995,4.99,Strategy,Single-player,False,Microprose Software Inc,K Games
8000,Tomb Raider Anniversary,Tomb Raider: Anniversary,2007-05-06,2007,8.99,"Action,  Adventure","Single-player, Partial Controller Support",False,Crystal Dynamicsferal Interactive Mac,Square Enix Feral Interactive Mac
9160,Master Levels For Doom Ii,Master Levels for Doom II,1995-01-06,1995,14.99,Action,"Single-player, Steam Cloud",False,Id Software,Id Software
2300,Doom Ii,DOOM II,1994-05-05,1994,4.99,Action,"Single-player, Multi-player, Steam Cloud",False,Id Software,Id Software
2270,Wolfenstein D,Wolfenstein 3D,1994-03-08,1994,4.99,Action,"Single-player, Steam Cloud",False,Id Software,Id Software
9000,Spear Of Destiny,Spear of Destiny,1993-10-10,1993,2.99,Action,"Single-player, Steam Cloud",False,Id Software,Id Software
3810,Bloodrayne,BloodRayne,2003-09-09,2003,9.99,Action,"Single-player, Steam Trading Cards",False,Terminal Reality,Majesco
9030,Quake Mission Pack Dissolution Of Eternity,QUAKE Mission Pack 2: Dissolution of Eternity,2007-03-08,2007,2.99,Action,"Single-player, Multi-player, Steam Cloud",False,Rogue Entertainment,Id Software
9310,Warhammer Dawn Of War Winter Assault,"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,2006,12.99,Strategy,"Single-player, Multi-player",False,Relic Entertainment,Sega
4570,Warhammer Dawn Of War Game Of The Year Edition,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,2006,12.99,Strategy,"Single-player, Multi-player, Steam Trading Cards, Steam Cloud",False,Relic Entertainment,Sega
4580,Warhammer Dawn Of War Dark Crusade,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-09-10,2006,12.99,Strategy,"Single-player, Multi-player, Steam Cloud",False,Relic Entertainment,Sega
12160,Midnight Club,Midnight Club 2,2003-01-07,2003,9.99,Racing,"Single-player, Multi-player",False,Rockstar San Diego,Rockstar Games
